secondary_substation_unique_id,geometry
SSEN-2507604015,POINT (-0.266636 51.523703)
SSEN-2507604020,POINT (-0.266514 51.523345)
SSEN-2507607040,POINT (-0.27129 51.527399)
SSEN-2508006040,POINT (-0.318328 51.492661)
SSEN-2508006060,POINT (-0.324608 51.49544)
SSEN-2508006080,POINT (-0.331804 51.502728)
SSEN-2508006100,POINT (-0.333655 51.505308)
SSEN-2508006120,POINT (-0.330556 51.505345)
SSEN-2508006140,POINT (-0.331302 51.503845)
SSEN-2508006160,POINT (-0.33549 51.503589)
SSEN-2508006180,POINT (-0.335823 51.501966)
SSEN-2508006230,POINT (-0.339849 51.500216)
SSEN-2508023010,POINT (-0.329628 51.481456)
SSEN-2508023020,POINT (-0.337575 51.481198)
SSEN-2508023030,POINT (-0.339187 51.481031)
SSEN-2508023040,POINT (-0.335554 51.482053)
SSEN-2508023050,POINT (-0.326428 51.481141)
SSEN-2508023060,POINT (-0.324769 51.478473)
SSEN-2508023070,POINT (-0.328815 51.476499)
SSEN-2508023080,POINT (-0.332833 51.477293)
SSEN-2508023085,POINT (-0.333674 51.476014)
SSEN-2509005003,POINT (-0.260947 51.522682)
SSEN-2509005005,POINT (-0.261043 51.523011)
SSEN-2509005060,POINT (-0.253123 51.527454)
SSEN-2509005065,POINT (-0.252676 51.526196)
SSEN-2509006050,POINT (-0.249151 51.529913)
SSEN-2509006080,POINT (-0.252576 51.524811)
SSEN-2509014005,POINT (-0.220465 51.509446)
SSEN-2509015010,POINT (-0.261131 51.522952)
SSEN-2509015020,POINT (-0.26055 51.522877)
SSEN-2509015030,POINT (-0.263516 51.517593)
SSEN-2509015050,POINT (-0.256088 51.527202)
SSEN-2509601040,POINT (-0.260418 51.530467)
SSEN-2509602040,POINT (-0.265037 51.531093)
SSEN-2511002010,POINT (-0.274661 51.492264)
SSEN-2511002020,POINT (-0.278071 51.495549)
SSEN-2511002050,POINT (-0.270666 51.492865)
SSEN-2511002053,POINT (-0.27012 51.49322)
SSEN-2511002055,POINT (-0.270912 51.493143)
SSEN-2511002080,POINT (-0.272665 51.492214)
SSEN-2511004020,POINT (-0.272962 51.488558)
SSEN-2511005020,POINT (-0.266074 51.487108)
SSEN-2511005040,POINT (-0.264437 51.485069)
SSEN-2511005120,POINT (-0.254567 51.481775)
SSEN-2511005140,POINT (-0.25972 51.480719)
SSEN-2511005200,POINT (-0.259036 51.47713)
SSEN-2511005220,POINT (-0.253377 51.476749)
SSEN-2511006020,POINT (-0.272813 51.487531)
SSEN-2511006040,POINT (-0.274741 51.486462)
SSEN-2511006060,POINT (-0.271748 51.485231)
SSEN-2511006080,POINT (-0.274631 51.484023)
SSEN-2511006085,POINT (-0.269633 51.481369)
SSEN-2511006090,POINT (-0.267542 51.480295)
SSEN-2511006120,POINT (-0.264304 51.482127)
SSEN-2511006140,POINT (-0.271702 51.479196)
SSEN-2511006160,POINT (-0.272045 51.477762)
SSEN-2511006180,POINT (-0.272674 51.477862)
SSEN-2511006200,POINT (-0.27036 51.476991)
SSEN-2511006210,POINT (-0.269811 51.47616)
SSEN-2511009040,POINT (-0.269766 51.488777)
SSEN-2511009060,POINT (-0.259614 51.493334)
SSEN-2511009080,POINT (-0.26387 51.494323)
SSEN-2511009120,POINT (-0.265939 51.492942)
SSEN-2511009130,POINT (-0.261465 51.492786)
SSEN-2511009180,POINT (-0.257146 51.49309)
SSEN-2511009190,POINT (-0.257578 51.491964)
SSEN-2511009200,POINT (-0.254321 51.49125)
SSEN-2511010020,POINT (-0.266994 51.489423)
SSEN-2511010040,POINT (-0.267777 51.490056)
SSEN-2511010060,POINT (-0.260213 51.488954)
SSEN-2511010080,POINT (-0.262799 51.491025)
SSEN-2511010190,POINT (-0.261049 51.491988)
SSEN-2511010200,POINT (-0.268586 51.492803)
SSEN-2511011020,POINT (-0.269348 51.490402)
SSEN-2511011040,POINT (-0.271296 51.489955)
SSEN-2511011060,POINT (-0.274545 51.49011)
SSEN-2511011080,POINT (-0.27814 51.489902)
SSEN-2511011100,POINT (-0.277902 51.491239)
SSEN-2511011105,POINT (-0.277759 51.494072)
SSEN-2511011120,POINT (-0.281335 51.488816)
